,0,1,2
321,/m/08wm8n,/m/0kv53j,/award/award_nominee/award_nominations./award/award_nomination/nominated_for
323,/m/08wm8n,/m/0kv53j,/film/music_contributor/film
703,/m/01zks0,/m/01zks0,/education/educational_institution/campuses
708,/m/01zks0,/m/01zks0,/education/educational_institution_campus/educational_institution
717,/m/02qkwnn,/m/06xxfy,/biology/organism_classification/higher_classification
1011,/m/0kv53j,/m/08wm8n,/award/award_nominated_work/award_nominations./award/award_nomination/award_nominee
1019,/m/0kv53j,/m/08wm8n,/film/film/music
1135,/m/0dn79b,/m/0dn79b,/education/educational_institution_campus/educational_institution
1139,/m/0dn79b,/m/0dn79b,/education/educational_institution/campuses
1142,/m/0f22j3,/m/0f22j3,/education/educational_institution_campus/educational_institution
1144,/m/0f22j3,/m/0f22j3,/education/educational_institution/campuses
1187,/m/03d7pjm,/m/03d7pjm,/education/educational_institution/campuses
1188,/m/03d7pjm,/m/03d7pjm,/education/educational_institution_campus/educational_institution
1219,/m/05hh78,/m/01d1bs,/people/person/parents
1662,/m/050cqz,/m/0gytqn,/education/educational_institution/students_graduates./education/education/student
1664,/m/050cqz,/m/02qknch,/education/educational_institution/students_graduates./education/education/student
1667,/m/050cqz,/m/050cqz,/education/educational_institution/campuses
1669,/m/050cqz,/m/050cqz,/education/educational_institution_campus/educational_institution
2194,/m/0tdn1,/m/0tdn1,/location/hud_county_place/place
2531,/m/0208yts,/m/0208yts,/location/hud_county_place/place
2552,/m/03dk9t,/m/0hhsbj6,/sports/sport/leagues
2817,/m/0xr1v,/m/0xr1v,/location/hud_county_place/place
3168,/m/01hb9p,/m/06yps4m,/tv/tv_actor/guest_roles./tv/tv_guest_role/episodes_appeared_in
3175,/m/01hb9p,/m/0275xd_,/music/artist/album
3779,/m/0c5hlc,/m/0c5hlc,/education/educational_institution_campus/educational_institution
3780,/m/0c5hlc,/m/0c5hlc,/education/educational_institution/campuses
3799,/m/0gytqn,/m/050cqz,/people/person/education./education/education/institution
3854,/m/02mpg6,/m/02mpg6,/education/educational_institution/campuses
3855,/m/02mpg6,/m/02mpg6,/education/educational_institution_campus/educational_institution
3861,/m/02mpg6,/m/02q4pn4,/education/educational_institution/students_graduates./education/education/student
4111,/m/043qb46,/m/03r67k,/award/award_winner/awards_won./award/award_honor/award
4174,/m/0tw8t,/m/0tw8t,/location/hud_county_place/place
4230,/m/02vp03p,/m/05mwcz_,/award/award_nominated_work/award_nominations./award/award_nomination/award_nominee
4265,/m/05ftpb,/m/0f2x0,/film/film/starring./film/performance/actor
