,0,1,2
11,/m/02381v,/m/07ssc,/people/person/nationality
12,/m/02381v,/m/05zppz,/people/person/gender
13,/m/025_k21,/m/019pcs,/location/location/containedby
26,/m/02q87p8,/m/0dxtg,/people/person/profession
27,/m/02q87p8,/m/0k6nt,/people/person/nationality
28,/m/02q87p8,/m/02jknp,/people/person/profession
29,/m/02q87p8,/m/0k6nt,/people/person/place_of_birth
30,/m/02q87p8,/m/05zppz,/people/person/gender
31,/m/02q87p8,/m/02ctzb,/people/person/ethnicity
32,/m/04178_l,/m/08l_c1,/people/person/education./education/education/institution
33,/m/04178_l,/m/04ztj,/people/person/spouse_s./people/marriage/type_of_union
34,/m/04178_l,/m/08mbj5d,/common/topic/webpage./common/webpage/category
35,/m/04178_l,/m/06m_5,/people/person/nationality
36,/m/04178_l,/m/0fn7r,/people/person/place_of_birth
37,/m/04178_l,/m/07s6fsf,/people/person/education./education/education/degree
38,/m/04178_l,/m/05zppz,/people/person/gender
39,/m/04178_l,/m/027752,/government/politician/party./government/political_party_tenure/party
40,/m/04_133,/m/09c7w0,/location/location/containedby
41,/m/04_133,/m/0hjy,/location/location/containedby
42,/m/04_133,/m/02lcrv,/location/location/time_zones
43,/m/04_133,/m/0g_wn2,/location/location/containedby
44,/m/04gmhyr,/m/05hgj,/book/book/genre
45,/m/04gmhyr,/m/02h40lc,/book/written_work/original_language
47,/m/063_q1y,/m/01wcp_g,/film/film/starring./film/performance/actor
48,/m/063_q1y,/m/02_n3z,/film/film/other_crew./film/film_crew_gig/film_crew_role
49,/m/063_q1y,/m/04rlf,/film/film/genre
50,/m/063_q1y,/m/09c7w0,/film/film/release_date_s./film/film_regional_release_date/film_release_region
51,/m/063_q1y,/m/03g3w,/film/film/genre
52,/m/063_q1y,/m/08mbj32,/common/topic/webpage./common/webpage/category
53,/m/063_q1y,/m/01j28z,/film/film/genre
54,/m/063_q1y,/m/09c7w0,/film/film/country
55,/m/063_q1y,/m/01vvyvk,/film/film/personal_appearances./film/personal_film_appearance/person
56,/m/063_q1y,/m/02h40lc,/film/film/language
57,/m/063_q1y,/m/0f8l9c,/film/film/country
58,/m/063_q1y,/m/01j28z,/media_common/netflix_title/netflix_genres
59,/m/063_q1y,/m/0jtdp,/media_common/netflix_title/netflix_genres
60,/m/063_q1y,/m/01wcp_g,/film/film/personal_appearances./film/personal_film_appearance/person
61,/m/063_q1y,/m/07ssc,/film/film/country
62,/m/063_q1y,/m/01s1zk,/film/film/starring./film/performance/actor
63,/m/063_q1y,/m/02vxfw_,/film/film/other_crew./film/film_crew_gig/film_crew_role
64,/m/063_q1y,/m/0jtdp,/film/film/genre
65,/m/063_q1y,/m/0cshrf,/film/film/genre
66,/m/063_q1y,/m/01wk7ql,/film/film/personal_appearances./film/personal_film_appearance/person
67,/m/063_q1y,/m/0205dx,/film/film/executive_produced_by
68,/m/063_q1y,/m/01s1zk,/film/film/personal_appearances./film/personal_film_appearance/person
69,/m/063_q1y,/m/029j_,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium
70,/m/063_q1y,/m/01f2q5,/film/film/personal_appearances./film/personal_film_appearance/person
71,/m/063_q1y,/m/01wk7ql,/film/film/starring./film/performance/actor
72,/m/063_q1y,/m/0ch6mp2,/film/film/other_crew./film/film_crew_gig/film_crew_role
75,/m/06w4881,/m/05fkf,/location/location/containedby
76,/m/06w4881,/m/0fsb8,/location/location/street_address./location/mailing_address/citytown
77,/m/06w4881,/m/0h52w,/protected_sites/listed_site/designation_as_natural_or_cultural_site./protected_sites/natural_or_cultural_site_listing/designation
78,/m/06w4881,/m/05fkf,/location/location/street_address./location/mailing_address/state_province_region
79,/m/06w4881,/m/0fsb8,/location/location/containedby
80,/m/0775_k,/m/08mbj5d,/common/topic/webpage./common/webpage/category
81,/m/07l4y80,/m/03_3d,/film/film/country
82,/m/07l4y80,/m/03_9r,/media_common/netflix_title/netflix_genres
83,/m/07l4y80,/m/03_3d,/media_common/netflix_title/netflix_genres
84,/m/07l4y80,/m/0cj16,/film/film/film_format
85,/m/07l4y80,/m/07s9rl0,/film/film/genre
86,/m/07l4y80,/m/04_m9gk,/film/film/film_festivals
87,/m/07l4y80,/m/03q4nz,/film/film/genre
88,/m/07l4y80,/m/03_9r,/film/film/language
94,/m/09rq3v,/m/0b90_r,/time/event/locations
95,/m/09z19d,/m/0q04f,/people/person/profession
96,/m/09z19d,/m/05zppz,/people/person/gender
97,/m/09z19d,/m/07ssc,/people/person/nationality
100,/m/0c66dm,/m/09lc9,/biology/organism_classification/rank
101,/m/0cfksn,/m/09krp,/people/person/places_lived./people/place_lived/location
102,/m/0cfksn,/m/05zppz,/people/person/gender
103,/m/0ch47zc,/m/05zppz,/people/person/gender
109,/m/0crc02n,/m/07tp2,/people/person/place_of_birth
110,/m/0crc02n,/m/05zppz,/people/person/gender
111,/m/0d8c0_,/m/02nzb8,/sports/sports_team/roster./sports/sports_team_roster/position
112,/m/0d8c0_,/m/0dgrmp,/sports/sports_team/roster./sports/sports_team_roster/position
113,/m/0d8c0_,/m/02_j1w,/sports/sports_team/roster./sports/sports_team_roster/position
114,/m/0d8c0_,/m/02sdk9v,/sports/sports_team/roster./sports/sports_team_roster/position
115,/m/0dbj7t,/m/042_h5,/education/school/highest_grade_taught
116,/m/0dbj7t,/m/042_f1,/education/school/lowest_grade_taught
117,/m/0dbj7t,/m/01g5v,/education/educational_institution/colors
118,/m/0dbj7t,/m/05fjf,/organization/organization/headquarters./location/mailing_address/state_province_region
119,/m/0dbj7t,/m/08mbj32,/common/topic/webpage./common/webpage/category
