,0,1,2
0,/m/017z88,/m/0g11gx,/business/employer/employees./business/employment_tenure/person
1,/m/017z88,/m/04n4c53,/education/educational_institution/students_graduates./education/education/student
2,/m/0193qj,/m/045lzk,/military/military_combatant/military_conflicts./military/military_combatant_group/conflict
3,/m/019v9k,/m/028cd1b,/education/educational_degree/people_with_this_degree./education/education/student
4,/m/019v9k,/m/02_82w9,/education/educational_degree/people_with_this_degree./education/education/student
5,/m/019v9k,/m/03qpc5_,/education/educational_degree/people_with_this_degree./education/education/student
6,/m/019v9k,/m/026ln2v,/education/educational_degree/people_with_this_degree./education/education/student
7,/m/019v9k,/m/05c56f,/education/educational_degree/people_with_this_degree./education/education/institution
8,/m/019v9k,/m/0g2sgt,/education/educational_degree/people_with_this_degree./education/education/student
9,/m/01qvcr,/m/0140b7,/cvg/cvg_developer/games_developed
10,/m/01rhl,/m/0c0dj_,/music/performance_role/track_performances./music/track_contribution/contributor
14,/m/025mb_,/m/08dqm4,/tv/tv_actor/starring_roles./tv/regular_tv_appearance/character
15,/m/026z9,/m/01pwkd3,/music/genre/artists
16,/m/026z9,/m/079p5c,/music/genre/albums
17,/m/026z9,/m/01hl40t,/music/genre/albums
18,/m/026z9,/m/03c03_0,/music/genre/albums
19,/m/026z9,/m/0j66lmm,/music/genre/artists
20,/m/026z9,/m/01hm6yw,/music/genre/albums
21,/m/02_tw,/m/0d8t62,/government/political_party/politicians_in_this_party./government/political_party_tenure/politician
22,/m/02_tw,/m/044_y7,/government/political_party/politicians_in_this_party./government/political_party_tenure/politician
23,/m/02gr81,/m/03gdxp,/education/educational_institution/students_graduates./education/education/student
24,/m/02k6pv,/m/02x3vny,/military/armed_force/personnel./military/military_service/military_person
25,/m/02p72j,/m/03bv26,/business/employer/employees./business/employment_tenure/person
46,/m/05fjy,/m/0208yts,/location/location/contains
73,/m/06hpx2,/m/04lkvc,/business/job_title/people_with_this_title./business/employment_tenure/person
74,/m/06hpx2,/m/04sv7z,/business/job_title/people_with_this_title./business/employment_tenure/person
89,/m/084w8,/m/03pp8_,/influence/influence_node/influenced
90,/m/09lbv,/m/02pyg6,/people/profession/people_with_this_profession
91,/m/09lbv,/m/07_h71,/people/profession/people_with_this_profession
92,/m/09lbv,/m/0ct1b0,/people/profession/people_with_this_profession
93,/m/09lbv,/m/03f6jpj,/people/profession/people_with_this_profession
98,/m/0_vn7,/m/0dlm1h_,/location/location/people_born_here
